date id ninfected nrecovered ndeceased
20 21 30 30 0
20 9 101 316 0
20 7 256 959 13
20 15 0 8 0
20 14 116 297 3
20 6 7 15 0
20 8 62 380 2
20 0 630 28184 273
20 10 36 30 0
20 25 0 1 0
20 2 293 2688 30
20 12 24 102 2
20 11 129 407 11
21 26 5 0 0
21 24 4 5 0
21 22 5 13 0
21 20 175 193 2
21 19 37 57 1
21 18 7 4 0
21 17 2 13 0
21 16 15 41 1
21 13 87 165 1
21 1 67 701 3
21 4 333 2806 32
21 3 190 2445 30
21 23 4 10 0
21 5 122 1032 8
21 21 42 42 0
21 9 76 375 1
21 7 271 1126 17
21 15 0 8 0
21 14 131 378 4
21 6 5 19 0
21 8 60 427 2
21 0 632 28645 274
21 10 41 50 1
21 25 0 1 0
21 2 218 2911 31
21 12 23 119 3
21 11 141 499 13
22 26 6 3 0
22 24 4 8 0
22 22 4 17 0
22 20 251 296 5
22 19 42 84 1
22 18 17 7 0
22 17 1 15 0
22 16 15 50 1
22 13 89 221 3
22 1 71 742 3
22 4 265 3035 34
22 3 179 2577 31
22 23 6 12 0
22 5 104 1116 10
22 21 40 62 0
22 9 72 427 1
22 7 287 1304 22
22 15 1 8 0
22 14 146 464 5
22 6 6 23 0
22 8 57 471 2
22 0 551 29124 276
22 10 44 76 1
22 25 1 1 0
22 2 256 3059 33
22 12 22 137 3
22 11 175 587 14
23 26 14 5 0
23 24 4 12 0
23 22 10 19 0
23 20 298 467 7
23 19 50 108 1
23 18 15 15 0
23 17 4 15 0
23 16 13 62 1
23 13 97 284 3
23 1 67 785 5
23 4 265 3210 37
23 3 169 2701 32
23 23 8 15 0
23 5 103 1190 11
23 21 48 88 0
23 9 69 478 2
23 7 245 1515 23
23 15 3 8 0
23 14 147 557 7
23 6 11 23 0
23 8 42 518 2
23 0 473 29544 277
23 10 44 102 2
23 25 0 2 0
23 2 242 3240 34
23 12 29 151 4
23 11 174 702 17
24 26 22 12 0
24 24 6 14 0
24 22 6 26 0
24 20 411 644 14
24 19 64 141 2
24 18 17 24 0
24 17 5 16 0
24 16 22 67 1
24 13 131 339 3
24 1 66 826 6
24 4 236 3397 38
24 3 168 2810 33
24 23 4 21 0
24 5 81 1263 11
24 21 55 118 0
24 9 65 523 4
24 7 281 1674 25
24 15 4 10 0
24 14 162 653 8
24 6 13 27 0
24 8 61 550 3
24 0 451 29893 279
24 10 36 129 3
24 25 0 2 0
24 2 211 3404 37
24 12 33 167 4
24 11 156 810 18
25 26 28 24 0
25 24 4 18 0
25 22 7 32 0
25 20 389 914 22
25 19 75 178 4
25 18 15 34 0
25 17 9 19 0
25 16 21 81 1
25 13 116 432 3
25 1 47 871 6
25 4 212 3560 40
25 27 1 0 0
25 3 159 2926 35
25 23 6 25 0
25 5 78 1311 13
25 21 53 152 2
25 9 48 566 4
25 7 295 1859 30
25 15 2 13 0
25 14 197 750 8
25 6 22 35 0
25 8 40 594 4
25 0 406 30217 280
25 10 36 149 3
25 25 0 2 0
25 2 189 3547 37
25 12 35 185 4
25 11 163 896 20
26 26 45 42 1
26 24 13 19 0
26 22 14 36 0
26 20 521 1144 25
26 19 88 225 5
26 18 15 40 0
26 17 6 26 0
26 16 22 97 1
26 13 135 503 5
26 1 53 904 6
26 4 196 3701 40
26 27 1 0 0
26 3 158 3031 36
26 23 4 29 0
26 5 63 1362 13
26 21 81 185 2
26 9 58 596 4
26 7 267 2054 31
26 15 0 15 0
26 14 212 879 8
26 6 27 47 1
26 8 39 623 4
26 0 361 30492 283
26 10 42 171 3
26 25 0 2 0
26 2 180 3677 37
26 12 24 208 5
26 11 129 998 21
27 26 55 66 1
27 24 15 25 0
