date nvariants nhealthy ninfected nrecovered ndeceased
214 79 372 474 79965 154
215 79 417 429 80344 154
216 80 384 461 80677 155
217 81 380 462 81012 158
218 82 386 455 81357 159
219 83 400 441 81704 159
220 83 399 442 82042 159
221 83 404 437 82390 159
222 83 374 466 82716 160
223 83 421 418 83082 161
224 83 395 443 83408 162
225 83 408 430 83763 162
226 83 383 454 84088 163
227 83 385 452 84426 163
228 84 393 444 84775 163
229 84 384 453 85110 163
230 84 390 446 85457 164
231 84 376 459 85793 165
232 84 392 443 86142 165
233 84 394 439 86488 167
234 84 400 431 86833 169
235 85 392 437 87169 171
236 85 377 449 87495 174
237 86 359 466 87815 175
238 87 397 428 88158 175
239 87 374 450 88481 176
240 88 384 440 88823 176
241 89 393 431 89168 176
242 89 385 438 89497 177
243 89 383 440 89828 177
244 90 377 445 90160 178
245 91 379 441 90487 180
246 91 379 441 90820 180
247 92 392 425 91159 183
248 93 377 439 91476 184
249 93 407 408 91820 185
250 93 355 459 92118 186
251 96 400 412 92470 188
252 96 370 442 92781 188
253 97 394 417 93119 189
254 97 367 441 93431 192
255 97 400 408 93776 192
256 97 373 432 94088 195
257 97 389 416 94422 195
258 98 364 438 94736 198
259 98 390 412 95080 198
260 98 379 423 95399 198
261 98 370 432 95714 198
262 98 368 434 96035 198
263 98 413 388 96382 199
264 99 387 413 96685 200
265 99 376 423 97003 201
266 100 375 424 97331 201
267 100 385 414 97661 201
268 100 390 407 97990 203
269 100 391 406 98316 203
270 100 361 434 98622 205
271 100 370 424 98955 206
272 101 405 387 99295 208
273 102 363 428 99589 209
274 102 356 435 99902 209
275 102 363 426 100225 211
276 102 360 428 100536 212
277 102 364 419 100856 217
278 102 391 391 101186 218
279 102 359 421 101483 220
280 103 376 404 101803 220
281 103 367 409 102110 224
282 104 354 419 102410 227
283 106 378 395 102734 227
284 106 358 415 103031 227
285 106 373 400 103343 227
286 106 349 424 103636 227
287 106 388 385 103966 227
288 107 343 429 104253 228
289 107 355 416 104565 229
290 108 350 420 104872 230
291 108 365 403 105187 232
292 108 374 392 105495 234
293 108 365 399 105794 236
294 108 330 434 106079 236
295 109 355 408 106393 237
296 109 363 396 106698 241
297 109 372 385 107000 243
298 109 355 401 107291 244
299 109 353 401 107593 246
300 110 371 381 107901 248
301 110 363 389 108186 248
302 110 377 375 108488 248
303 110 372 379 108781 249
304 110 344 404 109063 252
305 110 361 386 109366 253
306 110 388 357 109676 255
307 110 356 389 109941 255
308 110 365 380 110243 255
309 110 375 370 110537 255
310 110 346 399 110817 255
311 110 341 404 111109 255
312 110 342 402 111401 256
313 110 372 372 111707 256
314 110 337 406 111977 257
315 110 361 382 112281 257
316 110 344 399 112566 257
317 111 363 380 112867 257
318 111 363 379 113156 258
319 111 355 387 113438 258
320 111 353 388 113732 259
321 112 335 405 114008 260
322 112 351 387 114303 262
323 112 341 397 114590 262
324 112 369 369 114893 262
325 113 327 411 115160 262
326 113 371 366 115472 263
327 113 357 379 115748 264
328 114 357 377 116032 266
329 115 363 371 116325 266
330 115 332 401 116590 267
331 115 371 362 116896 267
332 115 341 392 117164 267
333 115 383 349 117474 268
334 116 350 380 117735 270
335 117 365 365 118024 270
336 118 341 388 118297 271
337 118 368 361 118595 271
338 119 352 377 118863 271
339 120 340 389 119136 271
340 120 343 385 119419 272
341 121 344 384 119701 272
342 121 355 372 119995 273
343 121 332 395 120268 273
344 121 383 343 120573 274
345 122 334 391 120828 275
346 122 359 366 121120 275
347 124 336 387 121392 277
348 124 360 361 121681 279
349 124 341 379 121954 280
350 127 369 350 122254 281
351 128 347 371 122516 282
352 128 350 366 122796 284
353 128 318 397 123060 285
354 129 343 371 123348 286
355 130 344 370 123628 286
356 131 339 375 123898 286
357 131 343 370 124178 287
358 131 336 377 124451 287
359 132 357 355 124728 288
360 133 366 345 125014 289
361 133 335 376 125273 289
362 133 340 371 125547 289
363 133 317 391 125810 292
364 133 357 349 126101 294
365 134 334 370 126363 296
366 135 338 365 126635 297
367 135 357 346 126919 297
368 135 307 396 127168 297
369 135 362 341 127466 297
370 135 338 365 127722 297
371 135 319 384 127980 297
372 135 335 368 128264 297
373 135 327 376 128520 297
374 135 353 349 128806 298
375 135 340 362 129070 298
376 136 350 352 129343 298
377 137 339 361 129605 300
378 137 344 355 129876 301
379 137 345 353 130145 302
380 138 342 356 130416 302
381 139 322 374 130669 304
382 140 335 358 130942 307
383 140 348 345 131213 307
384 140 351 340 131477 309
385 140 327 364 131736 309
386 140 347 344 132013 309
387 141 332 358 132272 310
388 142 341 348 132539 311
389 142 354 335 132808 311
390 142 333 352 133054 315
391 143 330 353 133310 317
392 143 340 341 133572 319
393 143 346 335 133837 319
394 143 350 331 134091 319
395 143 330 349 134331 321
396 143 315 363 134573 322
397 143 351 327 134849 322
398 143 328 350 135096 322
399 144 327 350 135356 323
400 144 352 324 135623 324
401 144 345 330 135871 325
402 144 341 332 136125 327
403 144 329 344 136379 327
404 144 314 359 136623 327
405 144 328 344 136890 328
406 144 327 344 137142 329
407 144 336 335 137408 329
408 145 306 365 137652 329
409 146 340 331 137930 329
410 147 342 327 138182 331
411 147 332 336 138425 332
412 147 324 342 138670 334
413 147 341 325 138928 334
414 147 325 341 139173 334
415 148 336 329 139439 335
416 148 361 304 139701 335
417 148 345 320 139935 335
418 148 364 301 140196 335
419 148 313 352 140418 335
420 149 321 343 140673 336
421 149 328 336 140931 336
422 149 325 339 141176 336
423 149 340 324 141429 336
424 149 325 339 141663 336
425 149 334 328 141918 338
426 149 338 323 142165 339
427 149 326 335 142406 339
428 149 336 323 142666 341
429 149 326 333 142911 341
430 150 323 334 143161 343
431 150 320 335 143409 345
432 151 348 307 143667 345
433 151 304 351 143877 345
434 151 349 306 144149 345
435 152 341 314 144386 345
436 152 334 320 144621 346
437 154 352 302 144875 346
438 154 309 344 145101 347
439 154 315 338 145350 347
440 154 315 338 145603 347
441 154 319 331 145849 350
442 154 322 328 146096 350
443 155 309 341 146336 350
444 155 336 314 146597 350
445 156 326 324 146838 350
446 156 344 306 147092 350
447 157 333 316 147321 351
448 157 318 331 147554 351
449 158 322 327 147801 351
450 158 322 327 148047 351
451 158 326 322 148293 352
452 158 338 310 148544 352
453 159 320 326 148773 354
454 159 317 327 149011 356
455 159 312 331 149245 357
456 159 348 295 149501 357
457 159 334 309 149738 357
458 160 339 304 149970 357
459 160 330 313 150199 357
460 160 305 338 150417 357
461 161 350 292 150681 358
462 161 301 340 150892 359
463 161 318 323 151138 359
464 161 304 336 151368 360
465 162 319 321 151626 360
466 162 328 312 151869 360
467 162 338 301 152111 361
468 162 318 321 152342 361
469 162 333 305 152589 362
470 162 329 308 152823 363
471 162 320 316 153056 364
472 162 326 310 153298 364
473 162 330 304 153532 366
474 162 321 313 153770 366
475 162 333 301 154008 366
476 162 315 319 154232 366
477 163 326 307 154471 367
478 163 317 315 154701 368
479 163 320 311 154934 369
480 163 331 300 155171 369
481 163 336 292 155389 372
482 165 294 334 155593 372
483 165 317 309 155832 374
484 165 334 291 156065 375
485 165 314 311 156294 375
486 166 336 288 156535 376
487 166 322 302 156749 376
488 166 309 314 156961 377
489 166 307 316 157193 377
490 166 315 308 157416 377
491 166 326 296 157649 378
492 166 330 292 157868 378
493 168 311 311 158079 378
494 170 337 285 158314 378
495 170 311 311 158524 378
496 170 316 306 158753 378
497 171 316 306 158989 378
498 171 307 315 159209 378
499 171 327 295 159454 378
500 171 303 319 159666 378
501 171 305 317 159897 378
502 171 328 293 160138 379
503 172 320 300 160364 380
504 172 340 280 160594 380
505 174 333 287 160813 380
506 175 323 297 161028 380
507 175 331 288 161254 381
508 175 309 310 161470 381
509 175 316 302 161700 382
510 175 331 286 161937 383
511 175 295 322 162138 383
512 176 304 312 162370 384
513 176 316 299 162611 385
514 177 331 284 162844 385
515 178 294 320 163047 386
516 178 329 284 163286 387
517 179 328 285 163504 387
518 179 326 287 163729 387
519 180 302 310 163933 388
520 180 312 299 164165 389
521 180 312 299 164388 389
522 180 326 285 164623 389
523 180 326 285 164837 389
524 180 321 289 165051 390
525 180 312 298 165261 390
526 181 320 290 165480 390
527 181 297 313 165691 390
528 181 335 275 165936 390
529 181 312 297 166141 391
530 181 317 291 166360 392
531 182 310 298 166579 392
532 182 301 307 166796 392
533 182 327 281 167025 392
534 182 308 299 167240 393
535 183 315 290 167459 395
536 183 314 291 167680 395
537 183 326 278 167895 396
538 183 332 271 168111 397
539 183 301 302 168315 397
540 183 332 270 168542 398
541 184 291 311 168736 398
542 184 313 289 168967 398
543 184 324 277 169188 399
544 184 325 275 169404 400
545 185 324 275 169612 401
546 185 315 284 169819 401
547 185 310 289 170026 401
548 185 301 298 170231 401
549 185 316 283 170450 401
550 185 336 263 170667 401
551 185 315 283 170873 402
552 185 317 281 171082 402
553 185 313 284 171293 403
554 185 318 278 171507 404
555 185 292 304 171702 404
556 185 312 284 171928 404
557 185 318 278 172147 404
558 186 328 268 172362 404
559 186 323 273 172572 404
560 186 353 241 172793 406
561 186 300 293 172975 407
562 186 318 275 173207 407
563 187 319 274 173422 407
564 187 335 258 173635 407
565 188 322 269 173836 409
566 188 302 289 174040 409
567 188 311 280 174251 409
568 190 290 300 174455 410
569 190 310 280 174673 410
570 190 326 264 174887 410
571 190 311 279 175083 410
572 190 319 271 175296 410
573 190 307 283 175501 410
574 190 319 271 175721 410
575 190 309 281 175922 410
576 191 301 289 176136 410
577 191 310 280 176348 410
578 191 325 264 176569 411
579 191 324 265 176775 411
580 191 312 277 176976 411
581 192 316 273 177188 411
582 194 316 273 177393 411
