virus_id virus source source_exposure_date rt
0 "covid 19" 9439 32 0
0 "covid 19" 9437 32 0
0 "covid 19" 8556 32 1
0 "covid 19" 8266 47 10
0 "covid 19" 8555 32 1
0 "covid 19" 8549 32 1
0 "covid 19" 8548 32 1
0 "covid 19" 8116 32 10
0 "covid 19" 8115 32 0
0 "covid 19" 8113 32 0
0 "covid 19" 8112 32 0
0 "covid 19" 9551 31 1
0 "covid 19" 9550 31 1
0 "covid 19" 9548 31 1
0 "covid 19" 9432 31 0
0 "covid 19" 8565 31 1
0 "covid 19" 8564 31 1
0 "covid 19" 8563 31 1
0 "covid 19" 8559 31 1
0 "covid 19" 8558 31 1
0 "covid 19" 8106 31 10
0 "covid 19" 8102 31 0
0 "covid 19" 9561 30 1
0 "covid 19" 9560 30 1
0 "covid 19" 9559 30 1
0 "covid 19" 9556 30 1
0 "covid 19" 9553 30 1
0 "covid 19" 9552 30 1
0 "covid 19" 9425 30 0
0 "covid 19" 9423 30 0
0 "covid 19" 9419 30 0
0 "covid 19" 9418 30 0
0 "covid 19" 8576 30 1
0 "covid 19" 8575 30 1
0 "covid 19" 8574 30 1
0 "covid 19" 8571 30 1
0 "covid 19" 8570 30 1
0 "covid 19" 8569 30 1
0 "covid 19" 8092 30 0
0 "covid 19" 8091 30 0
0 "covid 19" 8089 30 0
0 "covid 19" 2026 30 0
0 "covid 19" 2024 30 0
0 "covid 19" 9568 29 1
0 "covid 19" 9566 29 1
0 "covid 19" 9565 29 1
0 "covid 19" 9564 29 1
0 "covid 19" 9415 29 0
0 "covid 19" 9413 29 0
0 "covid 19" 9410 29 0
0 "covid 19" 9407 29 0
0 "covid 19" 8586 29 1
0 "covid 19" 8585 29 1
0 "covid 19" 8579 29 1
0 "covid 19" 8578 29 1
0 "covid 19" 8577 29 1
0 "covid 19" 8085 29 0
0 "covid 19" 8550 32 1
0 "covid 19" 8081 29 0
0 "covid 19" 8079 29 0
0 "covid 19" 8078 29 0
0 "covid 19" 5379 29 0
0 "covid 19" 2036 29 1
0 "covid 19" 2034 29 1
0 "covid 19" 2033 29 0
0 "covid 19" 8311 52 0
0 "covid 19" 8132 34 0
0 "covid 19" 2031 29 0
0 "covid 19" 2030 29 0
0 "covid 19" 2029 29 0
0 "covid 19" 2022 29 0
0 "covid 19" 2021 29 0
0 "covid 19" 9581 28 1
0 "covid 19" 9580 28 1
0 "covid 19" 9579 28 1
0 "covid 19" 9576 28 1
0 "covid 19" 9575 28 1
0 "covid 19" 9572 28 1
0 "covid 19" 9404 28 0
0 "covid 19" 9402 28 0
0 "covid 19" 9401 28 0
0 "covid 19" 9398 28 0
0 "covid 19" 8596 28 1
0 "covid 19" 8594 28 1
0 "covid 19" 2015 29 0
0 "covid 19" 8589 28 1
0 "covid 19" 8587 28 1
0 "covid 19" 8073 28 0
