thread date nviruses state counts
0 0 1 "Susceptible" 9900
0 0 1 "Infected" 100
0 0 1 "Recovered" 0
0 1 1 "Susceptible" 9547
0 1 1 "Infected" 429
0 1 1 "Recovered" 24
0 2 1 "Susceptible" 9131
0 2 1 "Infected" 724
0 2 1 "Recovered" 145
0 3 1 "Susceptible" 8695
0 3 1 "Infected" 939
0 3 1 "Recovered" 366
0 4 1 "Susceptible" 8225
0 4 1 "Infected" 1149
0 4 1 "Recovered" 626
0 5 1 "Susceptible" 7735
0 5 1 "Infected" 1291
0 5 1 "Recovered" 974
0 6 1 "Susceptible" 7224
0 6 1 "Infected" 1424
0 6 1 "Recovered" 1352
0 7 1 "Susceptible" 6700
0 7 1 "Infected" 1551
0 7 1 "Recovered" 1749
0 8 1 "Susceptible" 6142
0 8 1 "Infected" 1625
0 8 1 "Recovered" 2233
0 9 1 "Susceptible" 5622
0 9 1 "Infected" 1647
0 9 1 "Recovered" 2731
0 10 1 "Susceptible" 5094
0 10 1 "Infected" 1640
0 10 1 "Recovered" 3266
0 11 1 "Susceptible" 4575
0 11 1 "Infected" 1647
0 11 1 "Recovered" 3778
0 12 1 "Susceptible" 4066
0 12 1 "Infected" 1656
0 12 1 "Recovered" 4278
0 13 1 "Susceptible" 3587
0 13 1 "Infected" 1626
0 13 1 "Recovered" 4787
0 14 1 "Susceptible" 3144
0 14 1 "Infected" 1598
0 14 1 "Recovered" 5258
0 15 1 "Susceptible" 2739
0 15 1 "Infected" 1555
0 15 1 "Recovered" 5706
0 16 1 "Susceptible" 2357
0 16 1 "Infected" 1462
0 16 1 "Recovered" 6181
0 17 1 "Susceptible" 2026
0 17 1 "Infected" 1338
0 17 1 "Recovered" 6636
0 18 1 "Susceptible" 1716
0 18 1 "Infected" 1216
0 18 1 "Recovered" 7068
0 19 1 "Susceptible" 1444
0 19 1 "Infected" 1127
0 19 1 "Recovered" 7429
0 20 1 "Susceptible" 1206
0 20 1 "Infected" 1040
0 20 1 "Recovered" 7754
0 21 1 "Susceptible" 1006
0 21 1 "Infected" 919
0 21 1 "Recovered" 8075
0 22 1 "Susceptible" 842
0 22 1 "Infected" 822
0 22 1 "Recovered" 8336
0 23 1 "Susceptible" 697
0 23 1 "Infected" 727
0 23 1 "Recovered" 8576
0 24 1 "Susceptible" 582
0 24 1 "Infected" 624
0 24 1 "Recovered" 8794
0 25 1 "Susceptible" 478
0 25 1 "Infected" 551
0 25 1 "Recovered" 8971
0 26 1 "Susceptible" 388
0 26 1 "Infected" 473
0 26 1 "Recovered" 9139
0 27 1 "Susceptible" 316
