date id state n
35 0 Recovered 4305
35 0 Removed 266
36 1 Susceptible 0
36 1 Exposed 0
36 1 Recovered 8669
36 1 Removed 548
36 0 Susceptible 181
36 0 Exposed 209
36 0 Recovered 4337
36 0 Removed 273
37 1 Susceptible 0
37 1 Exposed 0
37 1 Recovered 8728
37 1 Removed 555
37 0 Susceptible 168
37 0 Exposed 196
37 0 Recovered 4362
37 0 Removed 274
38 1 Susceptible 0
38 1 Exposed 0
38 1 Recovered 8783
38 1 Removed 562
38 0 Susceptible 156
38 0 Exposed 173
38 0 Recovered 4393
38 0 Removed 278
39 1 Susceptible 0
39 1 Exposed 0
39 1 Recovered 8824
39 1 Removed 563
39 0 Susceptible 144
39 0 Exposed 161
39 0 Recovered 4416
39 0 Removed 279
40 1 Susceptible 0
40 1 Exposed 0
40 1 Recovered 8868
40 1 Removed 567
40 0 Susceptible 131
40 0 Exposed 149
40 0 Recovered 4439
40 0 Removed 281
41 1 Susceptible 0
41 1 Exposed 0
41 1 Recovered 8912
41 1 Removed 568
41 0 Susceptible 120
41 0 Exposed 138
41 0 Recovered 4460
41 0 Removed 282
42 1 Susceptible 0
42 1 Exposed 0
42 1 Recovered 8952
42 1 Removed 570
42 0 Susceptible 111
42 0 Exposed 123
42 0 Recovered 4484
42 0 Removed 282
43 1 Susceptible 0
43 1 Exposed 0
43 1 Recovered 8983
43 1 Removed 575
43 0 Susceptible 104
43 0 Exposed 115
43 0 Recovered 4498
43 0 Removed 283
44 1 Susceptible 0
44 1 Exposed 0
44 1 Recovered 9012
44 1 Removed 575
44 0 Susceptible 93
44 0 Exposed 114
44 0 Recovered 4510
44 0 Removed 283
45 1 Susceptible 0
45 1 Exposed 0
45 1 Recovered 9046
45 1 Removed 576
45 0 Susceptible 85
45 0 Exposed 103
45 0 Recovered 4529
45 0 Removed 283
46 1 Susceptible 0
46 1 Exposed 0
46 1 Recovered 9078
46 1 Removed 580
46 0 Susceptible 76
46 0 Exposed 95
46 0 Recovered 4544
46 0 Removed 285
47 1 Susceptible 0
47 1 Exposed 0
47 1 Recovered 9102
47 1 Removed 584
47 0 Susceptible 65
47 0 Exposed 93
47 0 Recovered 4555
47 0 Removed 287
48 1 Susceptible 0
48 1 Exposed 0
48 1 Recovered 9138
48 1 Removed 586
48 0 Susceptible 54
48 0 Exposed 84
48 0 Recovered 4573
48 0 Removed 289
49 1 Susceptible 0
49 1 Exposed 0
49 1 Recovered 9161
49 1 Removed 588
49 0 Susceptible 46
49 0 Exposed 81
49 0 Recovered 4583
49 0 Removed 290
50 1 Susceptible 0
50 1 Exposed 0
50 1 Recovered 9181
50 1 Removed 588
50 0 Susceptible 36
50 0 Exposed 80
50 0 Recovered 4594
50 0 Removed 290
51 1 Susceptible 0
51 1 Exposed 0
51 1 Recovered 9203
51 1 Removed 589
51 0 Susceptible 28
51 0 Exposed 77
51 0 Recovered 4605
51 0 Removed 290
52 1 Susceptible 0
52 1 Exposed 0
52 1 Recovered 9228
52 1 Removed 591
52 0 Susceptible 14
52 0 Exposed 74
52 0 Recovered 4621
52 0 Removed 291
53 1 Susceptible 0
53 1 Exposed 0
53 1 Recovered 9250
53 1 Removed 593
53 0 Susceptible 5
53 0 Exposed 71
53 0 Recovered 4632
53 0 Removed 292
54 1 Susceptible 0
54 1 Exposed 0
54 1 Recovered 9278
54 1 Removed 593
54 0 Susceptible 0
54 0 Exposed 59
54 0 Recovered 4649
54 0 Removed 292
