thread date nviruses state counts
0 0 1 "Susceptible" 9900
0 0 1 "Infected" 100
0 0 1 "Recovered" 0
0 1 1 "Susceptible" 9557
0 1 1 "Infected" 409
0 1 1 "Recovered" 34
0 2 1 "Susceptible" 9163
0 2 1 "Infected" 685
0 2 1 "Recovered" 152
0 3 1 "Susceptible" 8721
0 3 1 "Infected" 918
0 3 1 "Recovered" 361
0 4 1 "Susceptible" 8250
0 4 1 "Infected" 1113
0 4 1 "Recovered" 637
0 5 1 "Susceptible" 7785
0 5 1 "Infected" 1248
0 5 1 "Recovered" 967
0 6 1 "Susceptible" 7311
0 6 1 "Infected" 1353
0 6 1 "Recovered" 1336
0 7 1 "Susceptible" 6841
0 7 1 "Infected" 1433
0 7 1 "Recovered" 1726
0 8 1 "Susceptible" 6336
0 8 1 "Infected" 1475
0 8 1 "Recovered" 2189
0 9 1 "Susceptible" 5833
0 9 1 "Infected" 1487
0 9 1 "Recovered" 2680
0 10 1 "Susceptible" 5332
0 10 1 "Infected" 1545
0 10 1 "Recovered" 3123
0 11 1 "Susceptible" 4840
0 11 1 "Infected" 1567
0 11 1 "Recovered" 3593
0 12 1 "Susceptible" 4336
0 12 1 "Infected" 1618
0 12 1 "Recovered" 4046
0 13 1 "Susceptible" 3864
0 13 1 "Infected" 1609
0 13 1 "Recovered" 4527
0 14 1 "Susceptible" 3416
0 14 1 "Infected" 1549
0 14 1 "Recovered" 5035
0 15 1 "Susceptible" 3019
0 15 1 "Infected" 1489
0 15 1 "Recovered" 5492
0 16 1 "Susceptible" 2625
0 16 1 "Infected" 1406
0 16 1 "Recovered" 5969
0 17 1 "Susceptible" 2270
0 17 1 "Infected" 1333
0 17 1 "Recovered" 6397
0 18 1 "Susceptible" 1947
0 18 1 "Infected" 1244
0 18 1 "Recovered" 6809
0 19 1 "Susceptible" 1680
0 19 1 "Infected" 1148
0 19 1 "Recovered" 7172
0 20 1 "Susceptible" 1465
0 20 1 "Infected" 1038
0 20 1 "Recovered" 7497
0 21 1 "Susceptible" 1284
0 21 1 "Infected" 908
0 21 1 "Recovered" 7808
0 22 1 "Susceptible" 1111
0 22 1 "Infected" 820
0 22 1 "Recovered" 8069
0 23 1 "Susceptible" 957
0 23 1 "Infected" 733
0 23 1 "Recovered" 8310
0 24 1 "Susceptible" 819
0 24 1 "Infected" 657
0 24 1 "Recovered" 8524
0 25 1 "Susceptible" 693
0 25 1 "Infected" 581
0 25 1 "Recovered" 8726
0 26 1 "Susceptible" 576
0 26 1 "Infected" 519
0 26 1 "Recovered" 8905
0 27 1 "Susceptible" 465
