date nviruses state counts
59 1 "Exposed" 66
59 1 "Recovered" 9337
59 1 "Removed" 597
60 1 "Susceptible" 0
60 1 "Exposed" 54
60 1 "Recovered" 9348
60 1 "Removed" 598
61 1 "Susceptible" 0
61 1 "Exposed" 48
61 1 "Recovered" 9354
61 1 "Removed" 598
62 1 "Susceptible" 0
62 1 "Exposed" 38
62 1 "Recovered" 9363
62 1 "Removed" 599
63 1 "Susceptible" 0
63 1 "Exposed" 34
63 1 "Recovered" 9367
63 1 "Removed" 599
64 1 "Susceptible" 0
64 1 "Exposed" 27
64 1 "Recovered" 9374
64 1 "Removed" 599
65 1 "Susceptible" 0
65 1 "Exposed" 26
65 1 "Recovered" 9375
65 1 "Removed" 599
66 1 "Susceptible" 0
66 1 "Exposed" 25
66 1 "Recovered" 9376
66 1 "Removed" 599
67 1 "Susceptible" 0
67 1 "Exposed" 20
67 1 "Recovered" 9381
67 1 "Removed" 599
68 1 "Susceptible" 0
68 1 "Exposed" 18
68 1 "Recovered" 9383
68 1 "Removed" 599
69 1 "Susceptible" 0
69 1 "Exposed" 13
69 1 "Recovered" 9388
69 1 "Removed" 599
70 1 "Susceptible" 0
70 1 "Exposed" 10
70 1 "Recovered" 9391
70 1 "Removed" 599
71 1 "Susceptible" 0
71 1 "Exposed" 9
71 1 "Recovered" 9392
71 1 "Removed" 599
72 1 "Susceptible" 0
72 1 "Exposed" 6
72 1 "Recovered" 9394
72 1 "Removed" 600
73 1 "Susceptible" 0
73 1 "Exposed" 5
73 1 "Recovered" 9395
73 1 "Removed" 600
74 1 "Susceptible" 0
74 1 "Exposed" 5
74 1 "Recovered" 9395
74 1 "Removed" 600
75 1 "Susceptible" 0
75 1 "Exposed" 3
75 1 "Recovered" 9396
75 1 "Removed" 601
76 1 "Susceptible" 0
76 1 "Exposed" 3
76 1 "Recovered" 9396
76 1 "Removed" 601
77 1 "Susceptible" 0
77 1 "Exposed" 1
77 1 "Recovered" 9398
77 1 "Removed" 601
78 1 "Susceptible" 0
78 1 "Exposed" 1
78 1 "Recovered" 9398
78 1 "Removed" 601
79 1 "Susceptible" 0
79 1 "Exposed" 1
79 1 "Recovered" 9398
79 1 "Removed" 601
80 1 "Susceptible" 0
80 1 "Exposed" 0
80 1 "Recovered" 9399
80 1 "Removed" 601
81 1 "Susceptible" 0
81 1 "Exposed" 0
81 1 "Recovered" 9399
81 1 "Removed" 601
82 1 "Susceptible" 0
82 1 "Exposed" 0
82 1 "Recovered" 9399
82 1 "Removed" 601
83 1 "Susceptible" 0
83 1 "Exposed" 0
83 1 "Recovered" 9399
83 1 "Removed" 601
84 1 "Susceptible" 0
84 1 "Exposed" 0
84 1 "Recovered" 9399
84 1 "Removed" 601
85 1 "Susceptible" 0
85 1 "Exposed" 0
85 1 "Recovered" 9399
85 1 "Removed" 601
86 1 "Susceptible" 0
86 1 "Exposed" 0
86 1 "Recovered" 9399
86 1 "Removed" 601
87 1 "Susceptible" 0
87 1 "Exposed" 0
87 1 "Recovered" 9399
87 1 "Removed" 601
88 1 "Susceptible" 0
88 1 "Exposed" 0
88 1 "Recovered" 9399
88 1 "Removed" 601
89 1 "Susceptible" 0
89 1 "Exposed" 0
89 1 "Recovered" 9399
89 1 "Removed" 601
90 1 "Susceptible" 0
90 1 "Exposed" 0
90 1 "Recovered" 9399
90 1 "Removed" 601
91 1 "Susceptible" 0
91 1 "Exposed" 0
91 1 "Recovered" 9399
91 1 "Removed" 601
92 1 "Susceptible" 0
92 1 "Exposed" 0
92 1 "Recovered" 9399
92 1 "Removed" 601
93 1 "Susceptible" 0
93 1 "Exposed" 0
93 1 "Recovered" 9399
93 1 "Removed" 601
94 1 "Susceptible" 0
94 1 "Exposed" 0
94 1 "Recovered" 9399
94 1 "Removed" 601
95 1 "Susceptible" 0
95 1 "Exposed" 0
95 1 "Recovered" 9399
95 1 "Removed" 601
96 1 "Susceptible" 0
96 1 "Exposed" 0
96 1 "Recovered" 9399
96 1 "Removed" 601
97 1 "Susceptible" 0
97 1 "Exposed" 0
97 1 "Recovered" 9399
97 1 "Removed" 601
98 1 "Susceptible" 0
98 1 "Exposed" 0
98 1 "Recovered" 9399
98 1 "Removed" 601
99 1 "Susceptible" 0
99 1 "Exposed" 0
99 1 "Recovered" 9399
99 1 "Removed" 601
100 1 "Susceptible" 0
100 1 "Exposed" 0
100 1 "Recovered" 9399
100 1 "Removed" 601
