date from to counts
27 "Exposed" "Recovered" 160
27 "Exposed" "Removed" 12
27 "Recovered" "Recovered" 7640
27 "Removed" "Removed" 477
28 "Susceptible" "Susceptible" 700
28 "Susceptible" "Exposed" 80
28 "Exposed" "Exposed" 800
28 "Exposed" "Recovered" 124
28 "Exposed" "Removed" 7
28 "Recovered" "Recovered" 7800
28 "Removed" "Removed" 489
29 "Susceptible" "Susceptible" 638
29 "Susceptible" "Exposed" 62
29 "Exposed" "Exposed" 737
29 "Exposed" "Recovered" 129
29 "Exposed" "Removed" 14
29 "Recovered" "Recovered" 7924
29 "Removed" "Removed" 496
30 "Susceptible" "Susceptible" 595
30 "Susceptible" "Exposed" 43
30 "Exposed" "Exposed" 669
30 "Exposed" "Recovered" 125
30 "Exposed" "Removed" 5
30 "Recovered" "Recovered" 8053
30 "Removed" "Removed" 510
31 "Susceptible" "Susceptible" 555
31 "Susceptible" "Exposed" 40
31 "Exposed" "Exposed" 611
31 "Exposed" "Recovered" 97
31 "Exposed" "Removed" 4
31 "Recovered" "Recovered" 8178
31 "Removed" "Removed" 515
32 "Susceptible" "Susceptible" 515
32 "Susceptible" "Exposed" 40
32 "Exposed" "Exposed" 554
32 "Exposed" "Recovered" 95
32 "Exposed" "Removed" 2
32 "Recovered" "Recovered" 8275
32 "Removed" "Removed" 519
33 "Susceptible" "Susceptible" 475
33 "Susceptible" "Exposed" 40
33 "Exposed" "Exposed" 499
33 "Exposed" "Recovered" 89
33 "Exposed" "Removed" 6
33 "Recovered" "Recovered" 8370
33 "Removed" "Removed" 521
34 "Susceptible" "Susceptible" 435
34 "Susceptible" "Exposed" 40
34 "Exposed" "Exposed" 458
34 "Exposed" "Recovered" 77
34 "Exposed" "Removed" 4
34 "Recovered" "Recovered" 8459
34 "Removed" "Removed" 527
35 "Susceptible" "Susceptible" 395
35 "Susceptible" "Exposed" 40
35 "Exposed" "Exposed" 423
35 "Exposed" "Recovered" 67
35 "Exposed" "Removed" 8
35 "Recovered" "Recovered" 8536
35 "Removed" "Removed" 531
36 "Susceptible" "Susceptible" 355
36 "Susceptible" "Exposed" 40
36 "Exposed" "Exposed" 388
36 "Exposed" "Recovered" 66
36 "Exposed" "Removed" 9
36 "Recovered" "Recovered" 8603
36 "Removed" "Removed" 539
37 "Susceptible" "Susceptible" 330
37 "Susceptible" "Exposed" 25
37 "Exposed" "Exposed" 362
37 "Exposed" "Recovered" 59
37 "Exposed" "Removed" 7
37 "Recovered" "Recovered" 8669
37 "Removed" "Removed" 548
38 "Susceptible" "Susceptible" 310
38 "Susceptible" "Exposed" 20
38 "Exposed" "Exposed" 325
38 "Exposed" "Recovered" 55
38 "Exposed" "Removed" 7
38 "Recovered" "Recovered" 8728
38 "Removed" "Removed" 555
39 "Susceptible" "Susceptible" 290
39 "Susceptible" "Exposed" 20
39 "Exposed" "Exposed" 303
39 "Exposed" "Recovered" 41
39 "Exposed" "Removed" 1
39 "Recovered" "Recovered" 8783
39 "Removed" "Removed" 562
40 "Susceptible" "Susceptible" 270
40 "Susceptible" "Exposed" 20
40 "Exposed" "Exposed" 275
40 "Exposed" "Recovered" 44
40 "Exposed" "Removed" 4
40 "Recovered" "Recovered" 8824
40 "Removed" "Removed" 563
41 "Susceptible" "Susceptible" 250
41 "Susceptible" "Exposed" 20
41 "Exposed" "Exposed" 250
41 "Exposed" "Recovered" 44
41 "Exposed" "Removed" 1
41 "Recovered" "Recovered" 8868
41 "Removed" "Removed" 567
42 "Susceptible" "Susceptible" 230
42 "Susceptible" "Exposed" 20
42 "Exposed" "Exposed" 228
42 "Exposed" "Recovered" 40
42 "Exposed" "Removed" 2
42 "Recovered" "Recovered" 8912
42 "Removed" "Removed" 568
43 "Susceptible" "Susceptible" 210
43 "Susceptible" "Exposed" 20
43 "Exposed" "Exposed" 212
43 "Exposed" "Recovered" 31
43 "Exposed" "Removed" 5
43 "Recovered" "Recovered" 8952
43 "Removed" "Removed" 570
44 "Susceptible" "Susceptible" 190
44 "Susceptible" "Exposed" 20
44 "Exposed" "Exposed" 203
44 "Exposed" "Recovered" 29
44 "Recovered" "Recovered" 8983
44 "Removed" "Removed" 575
45 "Susceptible" "Susceptible" 170
45 "Susceptible" "Exposed" 20
45 "Exposed" "Exposed" 188
45 "Exposed" "Recovered" 34
45 "Exposed" "Removed" 1
45 "Recovered" "Recovered" 9012
45 "Removed" "Removed" 575
46 "Susceptible" "Susceptible" 150
46 "Susceptible" "Exposed" 20
46 "Exposed" "Exposed" 172
46 "Exposed" "Recovered" 32
46 "Exposed" "Removed" 4
46 "Recovered" "Recovered" 9046
46 "Removed" "Removed" 576
47 "Susceptible" "Susceptible" 130
47 "Susceptible" "Exposed" 20
47 "Exposed" "Exposed" 164
47 "Exposed" "Recovered" 24
47 "Exposed" "Removed" 4
47 "Recovered" "Recovered" 9078
47 "Removed" "Removed" 580
48 "Susceptible" "Susceptible" 110
48 "Susceptible" "Exposed" 20
48 "Exposed" "Exposed" 146
48 "Exposed" "Recovered" 36
48 "Exposed" "Removed" 2
48 "Recovered" "Recovered" 9102
48 "Removed" "Removed" 584
49 "Susceptible" "Susceptible" 90
49 "Susceptible" "Exposed" 20
49 "Exposed" "Exposed" 141
49 "Exposed" "Recovered" 23
49 "Exposed" "Removed" 2
49 "Recovered" "Recovered" 9138
49 "Removed" "Removed" 586
50 "Susceptible" "Susceptible" 70
50 "Susceptible" "Exposed" 20
50 "Exposed" "Exposed" 141
50 "Exposed" "Recovered" 20
50 "Recovered" "Recovered" 9161
50 "Removed" "Removed" 588
51 "Susceptible" "Susceptible" 50
51 "Susceptible" "Exposed" 20
51 "Exposed" "Exposed" 138
51 "Exposed" "Recovered" 22
51 "Exposed" "Removed" 1
51 "Recovered" "Recovered" 9181
51 "Removed" "Removed" 588
52 "Susceptible" "Susceptible" 30
52 "Susceptible" "Exposed" 20
52 "Exposed" "Exposed" 131
52 "Exposed" "Recovered" 25
52 "Exposed" "Removed" 2
52 "Recovered" "Recovered" 9203
52 "Removed" "Removed" 589
53 "Susceptible" "Susceptible" 10
53 "Susceptible" "Exposed" 20
53 "Exposed" "Exposed" 127
53 "Exposed" "Recovered" 22
53 "Exposed" "Removed" 2
53 "Recovered" "Recovered" 9228
53 "Removed" "Removed" 591
54 "Susceptible" "Exposed" 10
54 "Exposed" "Exposed" 119
54 "Exposed" "Recovered" 28
54 "Recovered" "Recovered" 9250
54 "Removed" "Removed" 593
55 "Exposed" "Exposed" 112
55 "Exposed" "Recovered" 15
55 "Exposed" "Removed" 2
55 "Recovered" "Recovered" 9278
55 "Removed" "Removed" 593
56 "Exposed" "Exposed" 94
56 "Exposed" "Recovered" 17
56 "Exposed" "Removed" 1
56 "Recovered" "Recovered" 9293
56 "Removed" "Removed" 595
57 "Exposed" "Exposed" 79
57 "Exposed" "Recovered" 14
57 "Exposed" "Removed" 1
57 "Recovered" "Recovered" 9310
57 "Removed" "Removed" 596
58 "Exposed" "Exposed" 74
58 "Exposed" "Recovered" 5
58 "Recovered" "Recovered" 9324
58 "Removed" "Removed" 597
59 "Exposed" "Exposed" 66
59 "Exposed" "Recovered" 8
59 "Recovered" "Recovered" 9329
59 "Removed" "Removed" 597
60 "Exposed" "Exposed" 54
60 "Exposed" "Recovered" 11
60 "Exposed" "Removed" 1
60 "Recovered" "Recovered" 9337
60 "Removed" "Removed" 597
61 "Exposed" "Exposed" 48
61 "Exposed" "Recovered" 6
61 "Recovered" "Recovered" 9348
61 "Removed" "Removed" 598
62 "Exposed" "Exposed" 38
62 "Exposed" "Recovered" 9
62 "Exposed" "Removed" 1
62 "Recovered" "Recovered" 9354
62 "Removed" "Removed" 598
63 "Exposed" "Exposed" 34
63 "Exposed" "Recovered" 4
63 "Recovered" "Recovered" 9363
63 "Removed" "Removed" 599
64 "Exposed" "Exposed" 27
64 "Exposed" "Recovered" 7
64 "Recovered" "Recovered" 9367
64 "Removed" "Removed" 599
65 "Exposed" "Exposed" 26
65 "Exposed" "Recovered" 1
65 "Recovered" "Recovered" 9374
65 "Removed" "Removed" 599
66 "Exposed" "Exposed" 25
66 "Exposed" "Recovered" 1
66 "Recovered" "Recovered" 9375
66 "Removed" "Removed" 599
67 "Exposed" "Exposed" 20
67 "Exposed" "Recovered" 5
67 "Recovered" "Recovered" 9376
67 "Removed" "Removed" 599
68 "Exposed" "Exposed" 18
68 "Exposed" "Recovered" 2
68 "Recovered" "Recovered" 9381
68 "Removed" "Removed" 599
69 "Exposed" "Exposed" 13
69 "Exposed" "Recovered" 5
69 "Recovered" "Recovered" 9383
69 "Removed" "Removed" 599
70 "Exposed" "Exposed" 10
70 "Exposed" "Recovered" 3
70 "Recovered" "Recovered" 9388
70 "Removed" "Removed" 599
71 "Exposed" "Exposed" 9
71 "Exposed" "Recovered" 1
71 "Recovered" "Recovered" 9391
71 "Removed" "Removed" 599
72 "Exposed" "Exposed" 6
72 "Exposed" "Recovered" 2
72 "Exposed" "Removed" 1
72 "Recovered" "Recovered" 9392
72 "Removed" "Removed" 599
73 "Exposed" "Exposed" 5
73 "Exposed" "Recovered" 1
73 "Recovered" "Recovered" 9394
73 "Removed" "Removed" 600
74 "Exposed" "Exposed" 5
74 "Recovered" "Recovered" 9395
74 "Removed" "Removed" 600
75 "Exposed" "Exposed" 3
75 "Exposed" "Recovered" 1
75 "Exposed" "Removed" 1
75 "Recovered" "Recovered" 9395
75 "Removed" "Removed" 600
76 "Exposed" "Exposed" 3
76 "Recovered" "Recovered" 9396
76 "Removed" "Removed" 601
77 "Exposed" "Exposed" 1
77 "Exposed" "Recovered" 2
77 "Recovered" "Recovered" 9396
77 "Removed" "Removed" 601
78 "Exposed" "Exposed" 1
78 "Recovered" "Recovered" 9398
78 "Removed" "Removed" 601
79 "Exposed" "Exposed" 1
79 "Recovered" "Recovered" 9398
79 "Removed" "Removed" 601
80 "Exposed" "Recovered" 1
80 "Recovered" "Recovered" 9398
80 "Removed" "Removed" 601
81 "Recovered" "Recovered" 9399
81 "Removed" "Removed" 601
82 "Recovered" "Recovered" 9399
82 "Removed" "Removed" 601
83 "Recovered" "Recovered" 9399
83 "Removed" "Removed" 601
84 "Recovered" "Recovered" 9399
84 "Removed" "Removed" 601
85 "Recovered" "Recovered" 9399
85 "Removed" "Removed" 601
86 "Recovered" "Recovered" 9399
86 "Removed" "Removed" 601
87 "Recovered" "Recovered" 9399
87 "Removed" "Removed" 601
88 "Recovered" "Recovered" 9399
88 "Removed" "Removed" 601
89 "Recovered" "Recovered" 9399
89 "Removed" "Removed" 601
90 "Recovered" "Recovered" 9399
90 "Removed" "Removed" 601
91 "Recovered" "Recovered" 9399
91 "Removed" "Removed" 601
92 "Recovered" "Recovered" 9399
92 "Removed" "Removed" 601
93 "Recovered" "Recovered" 9399
93 "Removed" "Removed" 601
94 "Recovered" "Recovered" 9399
94 "Removed" "Removed" 601
95 "Recovered" "Recovered" 9399
95 "Removed" "Removed" 601
96 "Recovered" "Recovered" 9399
96 "Removed" "Removed" 601
97 "Recovered" "Recovered" 9399
97 "Removed" "Removed" 601
98 "Recovered" "Recovered" 9399
98 "Removed" "Removed" 601
99 "Recovered" "Recovered" 9399
99 "Removed" "Removed" 601
100 "Recovered" "Recovered" 9399
100 "Removed" "Removed" 601
