thread date nviruses state counts
0 0 1 "Susceptible" 9900
0 0 1 "Infected" 100
0 0 1 "Recovered" 0
0 1 1 "Susceptible" 9555
0 1 1 "Infected" 416
0 1 1 "Recovered" 29
0 2 1 "Susceptible" 9158
0 2 1 "Infected" 696
0 2 1 "Recovered" 146
0 3 1 "Susceptible" 8758
0 3 1 "Infected" 871
0 3 1 "Recovered" 371
0 4 1 "Susceptible" 8327
0 4 1 "Infected" 1033
0 4 1 "Recovered" 640
0 5 1 "Susceptible" 7867
0 5 1 "Infected" 1177
0 5 1 "Recovered" 956
0 6 1 "Susceptible" 7374
0 6 1 "Infected" 1328
0 6 1 "Recovered" 1298
0 7 1 "Susceptible" 6844
0 7 1 "Infected" 1453
0 7 1 "Recovered" 1703
0 8 1 "Susceptible" 6318
0 8 1 "Infected" 1543
0 8 1 "Recovered" 2139
0 9 1 "Susceptible" 5790
0 9 1 "Infected" 1598
0 9 1 "Recovered" 2612
0 10 1 "Susceptible" 5289
0 10 1 "Infected" 1646
0 10 1 "Recovered" 3065
0 11 1 "Susceptible" 4808
0 11 1 "Infected" 1645
0 11 1 "Recovered" 3547
0 12 1 "Susceptible" 4352
0 12 1 "Infected" 1585
0 12 1 "Recovered" 4063
0 13 1 "Susceptible" 3896
0 13 1 "Infected" 1548
0 13 1 "Recovered" 4556
0 14 1 "Susceptible" 3490
0 14 1 "Infected" 1476
0 14 1 "Recovered" 5034
0 15 1 "Susceptible" 3094
0 15 1 "Infected" 1400
0 15 1 "Recovered" 5506
0 16 1 "Susceptible" 2720
0 16 1 "Infected" 1350
0 16 1 "Recovered" 5930
0 17 1 "Susceptible" 2374
0 17 1 "Infected" 1293
0 17 1 "Recovered" 6333
0 18 1 "Susceptible" 2046
0 18 1 "Infected" 1249
0 18 1 "Recovered" 6705
0 19 1 "Susceptible" 1744
0 19 1 "Infected" 1145
0 19 1 "Recovered" 7111
0 20 1 "Susceptible" 1472
0 20 1 "Infected" 1041
0 20 1 "Recovered" 7487
0 21 1 "Susceptible" 1231
0 21 1 "Infected" 945
0 21 1 "Recovered" 7824
0 22 1 "Susceptible" 1024
0 22 1 "Infected" 881
0 22 1 "Recovered" 8095
0 23 1 "Susceptible" 845
0 23 1 "Infected" 811
0 23 1 "Recovered" 8344
0 24 1 "Susceptible" 704
0 24 1 "Infected" 721
0 24 1 "Recovered" 8575
0 25 1 "Susceptible" 581
0 25 1 "Infected" 616
0 25 1 "Recovered" 8803
0 26 1 "Susceptible" 486
0 26 1 "Infected" 527
0 26 1 "Recovered" 8987
0 27 1 "Susceptible" 414
