thread date nviruses state counts
0 68 1 "Infected" 0
0 68 1 "Recovered" 10000
0 69 1 "Susceptible" 0
0 69 1 "Infected" 0
0 69 1 "Recovered" 10000
0 70 1 "Susceptible" 0
0 70 1 "Infected" 0
0 70 1 "Recovered" 10000
0 71 1 "Susceptible" 0
0 71 1 "Infected" 0
0 71 1 "Recovered" 10000
0 72 1 "Susceptible" 0
0 72 1 "Infected" 0
0 72 1 "Recovered" 10000
0 73 1 "Susceptible" 0
0 73 1 "Infected" 0
0 73 1 "Recovered" 10000
0 74 1 "Susceptible" 0
0 74 1 "Infected" 0
0 74 1 "Recovered" 10000
0 75 1 "Susceptible" 0
0 75 1 "Infected" 0
0 75 1 "Recovered" 10000
0 76 1 "Susceptible" 0
0 76 1 "Infected" 0
0 76 1 "Recovered" 10000
0 77 1 "Susceptible" 0
0 77 1 "Infected" 0
0 77 1 "Recovered" 10000
0 78 1 "Susceptible" 0
0 78 1 "Infected" 0
0 78 1 "Recovered" 10000
0 79 1 "Susceptible" 0
0 79 1 "Infected" 0
0 79 1 "Recovered" 10000
0 80 1 "Susceptible" 0
0 80 1 "Infected" 0
0 80 1 "Recovered" 10000
0 81 1 "Susceptible" 0
0 81 1 "Infected" 0
0 81 1 "Recovered" 10000
0 82 1 "Susceptible" 0
0 82 1 "Infected" 0
0 82 1 "Recovered" 10000
0 83 1 "Susceptible" 0
0 83 1 "Infected" 0
0 83 1 "Recovered" 10000
0 84 1 "Susceptible" 0
0 84 1 "Infected" 0
0 84 1 "Recovered" 10000
0 85 1 "Susceptible" 0
0 85 1 "Infected" 0
0 85 1 "Recovered" 10000
0 86 1 "Susceptible" 0
0 86 1 "Infected" 0
0 86 1 "Recovered" 10000
0 87 1 "Susceptible" 0
0 87 1 "Infected" 0
0 87 1 "Recovered" 10000
0 88 1 "Susceptible" 0
0 88 1 "Infected" 0
0 88 1 "Recovered" 10000
0 89 1 "Susceptible" 0
0 89 1 "Infected" 0
0 89 1 "Recovered" 10000
0 90 1 "Susceptible" 0
0 90 1 "Infected" 0
0 90 1 "Recovered" 10000
