thread date nviruses state counts
0 0 1 "Susceptible" 9900
0 0 1 "Infected" 100
0 0 1 "Recovered" 0
0 1 1 "Susceptible" 9539
0 1 1 "Infected" 426
0 1 1 "Recovered" 35
0 2 1 "Susceptible" 9148
0 2 1 "Infected" 690
0 2 1 "Recovered" 162
0 3 1 "Susceptible" 8732
0 3 1 "Infected" 881
0 3 1 "Recovered" 387
0 4 1 "Susceptible" 8288
0 4 1 "Infected" 1063
0 4 1 "Recovered" 649
0 5 1 "Susceptible" 7805
0 5 1 "Infected" 1228
0 5 1 "Recovered" 967
0 6 1 "Susceptible" 7313
0 6 1 "Infected" 1347
0 6 1 "Recovered" 1340
0 7 1 "Susceptible" 6791
0 7 1 "Infected" 1470
0 7 1 "Recovered" 1739
0 8 1 "Susceptible" 6254
0 8 1 "Infected" 1564
0 8 1 "Recovered" 2182
0 9 1 "Susceptible" 5708
0 9 1 "Infected" 1661
0 9 1 "Recovered" 2631
0 10 1 "Susceptible" 5176
0 10 1 "Infected" 1711
0 10 1 "Recovered" 3113
0 11 1 "Susceptible" 4650
0 11 1 "Infected" 1696
0 11 1 "Recovered" 3654
0 12 1 "Susceptible" 4153
0 12 1 "Infected" 1684
0 12 1 "Recovered" 4163
0 13 1 "Susceptible" 3689
0 13 1 "Infected" 1669
0 13 1 "Recovered" 4642
0 14 1 "Susceptible" 3251
0 14 1 "Infected" 1618
0 14 1 "Recovered" 5131
0 15 1 "Susceptible" 2844
0 15 1 "Infected" 1529
0 15 1 "Recovered" 5627
0 16 1 "Susceptible" 2479
0 16 1 "Infected" 1446
0 16 1 "Recovered" 6075
0 17 1 "Susceptible" 2147
0 17 1 "Infected" 1337
0 17 1 "Recovered" 6516
0 18 1 "Susceptible" 1857
0 18 1 "Infected" 1210
0 18 1 "Recovered" 6933
0 19 1 "Susceptible" 1594
0 19 1 "Infected" 1100
0 19 1 "Recovered" 7306
0 20 1 "Susceptible" 1371
0 20 1 "Infected" 1002
0 20 1 "Recovered" 7627
0 21 1 "Susceptible" 1193
0 21 1 "Infected" 870
0 21 1 "Recovered" 7937
0 22 1 "Susceptible" 1023
0 22 1 "Infected" 780
0 22 1 "Recovered" 8197
0 23 1 "Susceptible" 862
0 23 1 "Infected" 700
0 23 1 "Recovered" 8438
0 24 1 "Susceptible" 738
0 24 1 "Infected" 614
0 24 1 "Recovered" 8648
0 25 1 "Susceptible" 637
0 25 1 "Infected" 530
0 25 1 "Recovered" 8833
0 26 1 "Susceptible" 544
0 26 1 "Infected" 459
0 26 1 "Recovered" 8997
0 27 1 "Susceptible" 472
