date virus_id virus state n
46 0 "covid 19" Recovered 0
46 0 "covid 19" Removed 0
47 0 "covid 19" Susceptible 0
47 0 "covid 19" Exposed 184
47 0 "covid 19" Recovered 0
47 0 "covid 19" Removed 0
48 0 "covid 19" Susceptible 0
48 0 "covid 19" Exposed 166
48 0 "covid 19" Recovered 0
48 0 "covid 19" Removed 0
49 0 "covid 19" Susceptible 0
49 0 "covid 19" Exposed 161
49 0 "covid 19" Recovered 0
49 0 "covid 19" Removed 0
50 0 "covid 19" Susceptible 0
50 0 "covid 19" Exposed 161
50 0 "covid 19" Recovered 0
50 0 "covid 19" Removed 0
51 0 "covid 19" Susceptible 0
51 0 "covid 19" Exposed 158
51 0 "covid 19" Recovered 0
51 0 "covid 19" Removed 0
52 0 "covid 19" Susceptible 0
52 0 "covid 19" Exposed 151
52 0 "covid 19" Recovered 0
52 0 "covid 19" Removed 0
53 0 "covid 19" Susceptible 0
53 0 "covid 19" Exposed 147
53 0 "covid 19" Recovered 0
53 0 "covid 19" Removed 0
54 0 "covid 19" Susceptible 0
54 0 "covid 19" Exposed 129
54 0 "covid 19" Recovered 0
54 0 "covid 19" Removed 0
55 0 "covid 19" Susceptible 0
55 0 "covid 19" Exposed 112
55 0 "covid 19" Recovered 0
55 0 "covid 19" Removed 0
56 0 "covid 19" Susceptible 0
56 0 "covid 19" Exposed 94
56 0 "covid 19" Recovered 0
56 0 "covid 19" Removed 0
57 0 "covid 19" Susceptible 0
57 0 "covid 19" Exposed 79
57 0 "covid 19" Recovered 0
57 0 "covid 19" Removed 0
58 0 "covid 19" Susceptible 0
58 0 "covid 19" Exposed 74
58 0 "covid 19" Recovered 0
58 0 "covid 19" Removed 0
59 0 "covid 19" Susceptible 0
59 0 "covid 19" Exposed 66
59 0 "covid 19" Recovered 0
59 0 "covid 19" Removed 0
60 0 "covid 19" Susceptible 0
60 0 "covid 19" Exposed 54
60 0 "covid 19" Recovered 0
60 0 "covid 19" Removed 0
61 0 "covid 19" Susceptible 0
61 0 "covid 19" Exposed 48
61 0 "covid 19" Recovered 0
61 0 "covid 19" Removed 0
62 0 "covid 19" Susceptible 0
62 0 "covid 19" Exposed 38
62 0 "covid 19" Recovered 0
62 0 "covid 19" Removed 0
63 0 "covid 19" Susceptible 0
63 0 "covid 19" Exposed 34
63 0 "covid 19" Recovered 0
63 0 "covid 19" Removed 0
64 0 "covid 19" Susceptible 0
64 0 "covid 19" Exposed 27
64 0 "covid 19" Recovered 0
64 0 "covid 19" Removed 0
65 0 "covid 19" Susceptible 0
65 0 "covid 19" Exposed 26
65 0 "covid 19" Recovered 0
65 0 "covid 19" Removed 0
66 0 "covid 19" Susceptible 0
66 0 "covid 19" Exposed 25
66 0 "covid 19" Recovered 0
66 0 "covid 19" Removed 0
67 0 "covid 19" Susceptible 0
67 0 "covid 19" Exposed 20
67 0 "covid 19" Recovered 0
67 0 "covid 19" Removed 0
68 0 "covid 19" Susceptible 0
68 0 "covid 19" Exposed 18
68 0 "covid 19" Recovered 0
68 0 "covid 19" Removed 0
69 0 "covid 19" Susceptible 0
69 0 "covid 19" Exposed 13
69 0 "covid 19" Recovered 0
69 0 "covid 19" Removed 0
70 0 "covid 19" Susceptible 0
70 0 "covid 19" Exposed 10
70 0 "covid 19" Recovered 0
70 0 "covid 19" Removed 0
71 0 "covid 19" Susceptible 0
71 0 "covid 19" Exposed 9
71 0 "covid 19" Recovered 0
71 0 "covid 19" Removed 0
72 0 "covid 19" Susceptible 0
72 0 "covid 19" Exposed 6
72 0 "covid 19" Recovered 0
72 0 "covid 19" Removed 0
73 0 "covid 19" Susceptible 0
73 0 "covid 19" Exposed 5
73 0 "covid 19" Recovered 0
73 0 "covid 19" Removed 0
74 0 "covid 19" Susceptible 0
74 0 "covid 19" Exposed 5
74 0 "covid 19" Recovered 0
74 0 "covid 19" Removed 0
75 0 "covid 19" Susceptible 0
75 0 "covid 19" Exposed 3
75 0 "covid 19" Recovered 0
75 0 "covid 19" Removed 0
76 0 "covid 19" Susceptible 0
76 0 "covid 19" Exposed 3
76 0 "covid 19" Recovered 0
76 0 "covid 19" Removed 0
77 0 "covid 19" Susceptible 0
77 0 "covid 19" Exposed 1
77 0 "covid 19" Recovered 0
77 0 "covid 19" Removed 0
78 0 "covid 19" Susceptible 0
78 0 "covid 19" Exposed 1
78 0 "covid 19" Recovered 0
78 0 "covid 19" Removed 0
79 0 "covid 19" Susceptible 0
79 0 "covid 19" Exposed 1
79 0 "covid 19" Recovered 0
79 0 "covid 19" Removed 0
80 0 "covid 19" Susceptible 0
80 0 "covid 19" Exposed 0
80 0 "covid 19" Recovered 0
80 0 "covid 19" Removed 0
81 0 "covid 19" Susceptible 0
81 0 "covid 19" Exposed 0
81 0 "covid 19" Recovered 0
81 0 "covid 19" Removed 0
82 0 "covid 19" Susceptible 0
82 0 "covid 19" Exposed 0
82 0 "covid 19" Recovered 0
82 0 "covid 19" Removed 0
83 0 "covid 19" Susceptible 0
83 0 "covid 19" Exposed 0
83 0 "covid 19" Recovered 0
83 0 "covid 19" Removed 0
84 0 "covid 19" Susceptible 0
84 0 "covid 19" Exposed 0
84 0 "covid 19" Recovered 0
84 0 "covid 19" Removed 0
85 0 "covid 19" Susceptible 0
85 0 "covid 19" Exposed 0
85 0 "covid 19" Recovered 0
85 0 "covid 19" Removed 0
86 0 "covid 19" Susceptible 0
86 0 "covid 19" Exposed 0
86 0 "covid 19" Recovered 0
86 0 "covid 19" Removed 0
87 0 "covid 19" Susceptible 0
87 0 "covid 19" Exposed 0
87 0 "covid 19" Recovered 0
87 0 "covid 19" Removed 0
88 0 "covid 19" Susceptible 0
88 0 "covid 19" Exposed 0
88 0 "covid 19" Recovered 0
88 0 "covid 19" Removed 0
89 0 "covid 19" Susceptible 0
89 0 "covid 19" Exposed 0
89 0 "covid 19" Recovered 0
89 0 "covid 19" Removed 0
90 0 "covid 19" Susceptible 0
90 0 "covid 19" Exposed 0
90 0 "covid 19" Recovered 0
90 0 "covid 19" Removed 0
91 0 "covid 19" Susceptible 0
91 0 "covid 19" Exposed 0
91 0 "covid 19" Recovered 0
91 0 "covid 19" Removed 0
92 0 "covid 19" Susceptible 0
92 0 "covid 19" Exposed 0
92 0 "covid 19" Recovered 0
92 0 "covid 19" Removed 0
93 0 "covid 19" Susceptible 0
93 0 "covid 19" Exposed 0
93 0 "covid 19" Recovered 0
93 0 "covid 19" Removed 0
94 0 "covid 19" Susceptible 0
94 0 "covid 19" Exposed 0
94 0 "covid 19" Recovered 0
94 0 "covid 19" Removed 0
95 0 "covid 19" Susceptible 0
95 0 "covid 19" Exposed 0
95 0 "covid 19" Recovered 0
95 0 "covid 19" Removed 0
96 0 "covid 19" Susceptible 0
96 0 "covid 19" Exposed 0
96 0 "covid 19" Recovered 0
96 0 "covid 19" Removed 0
97 0 "covid 19" Susceptible 0
97 0 "covid 19" Exposed 0
97 0 "covid 19" Recovered 0
97 0 "covid 19" Removed 0
98 0 "covid 19" Susceptible 0
98 0 "covid 19" Exposed 0
98 0 "covid 19" Recovered 0
98 0 "covid 19" Removed 0
99 0 "covid 19" Susceptible 0
99 0 "covid 19" Exposed 0
99 0 "covid 19" Recovered 0
99 0 "covid 19" Removed 0
100 0 "covid 19" Susceptible 0
100 0 "covid 19" Exposed 0
100 0 "covid 19" Recovered 0
100 0 "covid 19" Removed 0
